camera,age,ram,cpu_score,slot_sd,sims,price
12,1,12,48,0,1,65858
149,3,4,91,0,1,54287
110,2,6,75,0,2,29188
34,0,12,61,0,1,40596
144,1,2,81,1,2,35772
22,0,12,65,1,2,38857
97,2,4,97,0,1,69778
49,2,16,93,1,1,18776
131,2,4,51,0,2,40835
186,0,16,56,0,2,17788
70,0,16,53,1,1,13660
103,0,6,53,1,2,12478
59,0,12,96,0,2,16210
103,2,2,73,0,2,18922
139,2,2,92,0,1,44289
158,1,8,96,1,2,41340
150,1,16,59,1,1,47850
178,0,2,50,1,2,64984
36,3,6,55,1,1,46163
43,3,16,90,0,2,56175
20,2,6,70,0,1,26642
167,2,2,94,0,1,19094
78,2,2,45,0,1,30423
194,1,8,95,0,2,41418
93,1,2,58,0,2,13741
35,2,16,76,1,2,54049
73,2,16,97,1,1,14838
177,2,16,43,0,2,59739
52,3,8,86,0,1,65028
69,1,8,100,1,2,11262
192,3,2,43,1,1,58490
141,3,4,59,1,1,12996
35,2,4,49,1,1,52594
35,2,8,63,0,2,30164
115,0,2,93,0,2,43595
51,0,4,74,0,2,38257
91,3,2,65,0,1,22211
37,1,2,76,0,1,38453
197,2,2,77,1,2,13232
82,2,12,60,0,2,10217
135,3,16,93,1,2,60691
99,0,2,79,0,1,32229
197,1,12,78,0,1,22232
136,0,8,60,0,1,33613
128,0,4,49,0,1,22026
34,0,16,77,0,1,61535
197,0,4,85,1,2,36554
128,2,16,43,1,1,38908
123,2,4,99,1,1,60113
10,0,16,96,0,1,27610
110,1,4,84,0,1,54646
162,3,4,59,1,1,47605
144,1,4,56,0,2,15031
69,1,4,94,0,1,55574
172,1,8,46,1,1,66442
58,0,2,43,0,1,67668
179,2,6,68,1,2,33515
159,1,12,53,0,2,44484
66,0,6,42,1,2,44182
125,1,6,63,0,1,58600
167,1,16,76,0,2,8570
103,0,2,55,1,1,40254
187,2,16,97,0,1,27288
120,2,2,94,0,2,21288
69,3,2,91,1,1,37877
193,0,4,43,0,1,26889
59,3,8,95,1,1,8917
19,3,4,63,0,2,18066
46,3,8,73,0,1,37504
137,2,16,69,0,1,14982
138,0,8,57,0,2,64579
120,3,16,58,1,1,47104
108,0,6,70,0,1,26062
120,0,6,99,1,2,24999
191,2,8,99,0,1,69845
88,3,8,58,0,1,17941
194,3,16,88,0,1,69169
120,0,4,85,0,1,31470
9,1,16,58,1,1,53148
137,2,4,61,1,2,67821
61,2,6,63,1,2,29133
94,2,2,84,1,2,60657
136,2,8,51,0,2,52435
154,3,4,69,1,1,12529
133,3,16,97,1,1,25519
137,1,6,77,0,1,20192
60,2,4,92,0,1,16566
179,2,16,70,0,1,15226
167,0,8,75,0,2,45930
167,3,8,58,1,2,57358
75,2,12,87,1,1,29259
190,1,2,84,0,1,42087
191,1,12,75,0,1,9141
130,3,6,69,0,2,12627
152,1,4,94,1,1,64541
45,1,6,88,1,1,55269
31,3,16,94,0,1,10690
76,2,8,72,0,2,48091
123,2,12,57,1,1,11255
105,1,12,91,0,2,65433
146,1,12,88,0,2,13213
151,2,6,98,1,2,44876
104,3,8,67,0,2,27404
131,1,4,98,1,2,59009
194,0,16,86,0,2,33380
77,3,4,50,0,1,33520
100,1,6,96,1,1,27173
10,1,16,99,1,1,61027
155,0,12,93,0,2,31989
194,0,2,84,1,1,50570
171,2,6,72,0,2,32519
154,3,6,56,0,2,68267
97,3,8,45,1,2,30439
154,2,4,43,0,1,61034
155,3,6,59,0,2,19413
103,3,6,87,1,2,22995
59,3,12,86,1,1,31559
168,3,12,66,0,1,53351
175,3,16,54,1,2,31513
135,0,2,45,1,2,13021
46,3,8,86,1,1,40464
89,0,2,53,1,1,29119
111,3,16,99,0,1,59539
136,2,12,50,0,2,37299
18,1,4,78,0,1,47350
192,0,12,48,1,1,54223
185,3,8,65,1,1,33517
158,2,12,55,1,2,21117
166,1,8,44,1,1,30250
49,0,8,96,1,1,26950
106,1,8,91,1,1,25359
14,2,16,100,1,1,31596
151,0,8,49,0,1,33530
97,1,8,89,0,2,9262
119,3,4,42,1,2,62199
67,0,2,52,1,2,66287
120,1,6,82,1,1,67546
9,2,2,88,0,2,48150
136,2,8,69,0,2,30615
55,0,4,93,1,2,11327
147,1,12,84,1,1,62782
44,0,4,45,0,1,37768
167,0,8,56,0,2,36850
16,1,4,98,0,2,59411
106,1,4,84,0,1,50788
154,3,8,90,1,1,58409
55,1,16,92,0,2,24848
138,2,4,58,0,1,54830
155,0,6,81,1,2,60446
159,0,6,74,0,1,47542
61,2,4,85,0,2,23160
127,1,16,65,0,2,64583
168,2,12,90,1,1,41998
159,2,8,44,0,2,35230
123,3,6,68,1,2,17076
82,2,12,76,1,2,11805
120,0,4,59,0,1,39085
171,2,12,88,0,1,63571
173,0,2,60,0,1,22715
111,0,6,49,0,2,13750
91,0,4,44,1,1,56395
119,1,8,75,0,2,21232
106,3,16,45,0,2,61008
160,0,4,65,0,1,43903
100,0,8,43,1,1,14953
153,1,16,78,0,2,40093
135,0,16,78,0,2,33500
117,2,4,89,1,1,30418
89,2,12,74,1,1,61741
61,3,12,40,0,1,42314
170,0,16,63,0,2,56225
196,1,12,96,0,2,30449
176,2,2,75,0,2,25478
168,1,16,45,0,2,43179
75,1,16,80,1,2,59769
40,2,8,93,1,1,54881
149,1,12,85,0,1,33338
28,2,16,99,0,2,34899
55,1,2,83,1,2,12145
155,2,8,99,0,1,40101
135,0,4,96,0,1,10775
143,3,16,70,0,1,53961
142,2,2,59,0,1,39647
152,2,6,63,0,2,53619
135,3,2,64,1,1,53838
40,2,2,75,0,2,63780
183,2,8,60,0,1,27539
194,1,4,69,0,1,44738
122,3,6,63,1,1,65124
126,0,12,83,1,2,34616
29,2,12,81,1,2,22119
165,3,2,69,1,1,33159
45,1,8,61,0,2,62567
116,0,8,67,1,2,45099
58,3,12,46,0,1,18295
189,0,6,74,0,1,42710
15,0,4,94,1,2,69799
34,0,6,67,1,2,63178
34,2,16,53,1,2,32685
28,2,16,95,1,1,57343
37,1,4,49,1,1,33479
104,1,12,55,0,2,54172
35,3,4,55,1,1,41629
118,1,8,93,1,1,63863
199,0,16,70,1,2,50043
68,0,2,81,0,2,25033
55,2,2,64,1,1,44902
154,0,12,52,0,1,52571
11,3,8,45,1,2,23408
42,0,6,83,1,1,64739
199,0,8,48,0,1,65980
56,3,2,84,1,2,25420
24,1,2,75,0,2,24351
179,1,16,95,0,1,12131
165,3,8,82,0,1,59300
53,2,8,59,1,1,52825
124,0,2,57,1,2,19349
13,3,6,97,1,1,68931
106,0,12,82,0,1,52254
131,2,12,96,1,2,46225
44,0,8,60,0,2,46847
31,3,12,43,1,1,20453
100,0,2,89,0,2,26814
53,1,2,72,0,2,26263
188,2,8,66,0,1,20158
102,2,8,46,1,2,23735
106,2,16,45,0,2,23830
195,3,8,54,0,1,55893
123,2,6,57,0,2,52673
198,1,12,71,0,1,69470
167,3,8,95,0,1,31926
168,1,4,50,0,2,53066
74,0,16,59,1,2,42779
135,0,4,63,1,2,11373
25,0,2,54,0,1,18335
32,0,12,87,1,2,31741
61,1,8,46,1,1,18692
65,3,4,60,0,2,55295
74,3,12,81,0,2,53541
111,2,2,65,0,2,42057
181,1,6,83,1,1,9447
31,0,16,95,0,2,27583
121,1,12,53,1,2,30765
39,2,12,96,0,1,67287
182,2,6,76,1,1,31906
93,1,12,97,0,2,63211
158,1,2,60,0,2,27567
134,1,2,57,1,2,22139
162,3,6,44,1,1,54525
137,0,16,42,1,1,46230
24,1,8,62,1,1,60368
111,1,4,65,1,1,27520
168,1,8,76,1,2,27702
144,2,12,63,0,1,59934
50,2,4,88,1,1,33566
183,3,6,58,0,1,15657
46,0,6,90,0,2,45688
177,3,16,64,1,2,38134
33,0,4,60,0,1,18345
106,2,2,51,1,1,63476
57,2,4,96,1,2,63479
160,2,12,100,0,2,49185
159,3,2,80,0,2,57928
20,1,6,72,1,2,35413
67,1,4,89,1,2,13208
142,2,8,92,0,2,41455
64,1,16,43,0,2,57681
43,1,8,81,0,2,36018
180,3,16,96,0,1,62219
27,0,12,46,1,1,53991
72,2,8,61,1,1,16080
15,2,4,94,1,1,29902
151,3,4,72,1,1,59305
149,3,8,56,0,1,17486
122,1,4,63,0,2,46862
150,2,12,100,1,2,64126
99,0,2,100,1,1,66870
105,3,12,73,1,1,29158
73,0,16,67,1,2,48460
39,0,12,97,1,2,51856
198,2,16,82,1,2,43871
93,2,4,80,1,1,43208
58,3,2,78,1,2,28519
160,2,4,61,1,1,39379
193,2,6,88,0,1,36378
70,2,4,56,1,2,47892
197,0,16,73,0,2,62353
132,3,4,45,0,1,57996
157,1,4,85,1,2,22031
65,0,2,45,1,2,22536
65,2,4,73,0,1,8446
93,0,2,40,0,2,44683
56,2,8,49,1,1,56555
187,2,6,60,0,1,60261
177,0,2,44,1,2,25618
77,3,16,41,1,1,14587
22,2,8,61,1,1,39480
61,3,2,87,0,2,40994
195,1,2,96,0,2,28527
108,2,6,41,1,2,31569
15,3,16,49,0,1,19151
60,3,12,73,0,1,13558
67,1,12,55,0,2,67174
115,3,2,87,0,1,52739
12,3,4,90,0,2,40954
110,1,16,100,0,2,55448
13,2,8,78,0,1,55327
116,3,4,61,1,2,51837
123,3,4,51,0,1,43303
101,3,16,63,0,1,42700
54,0,2,86,0,2,35500
106,1,2,79,0,1,66192
62,0,2,77,0,2,10032
175,1,2,99,0,1,9252
59,2,12,98,0,1,13509
151,2,2,49,0,1,45842
20,3,12,74,1,2,21900
121,1,12,90,0,1,22523
131,2,2,88,0,2,9881
113,1,6,71,0,1,41037
165,2,8,46,0,1,9630
154,0,4,60,1,2,28789
152,2,12,59,1,2,68547
127,0,16,65,1,2,30523
70,2,16,43,1,2,25958
26,3,8,85,1,2,54151
99,0,16,91,1,1,56920
65,2,6,61,1,1,51852
190,3,16,54,1,2,9695
97,0,4,95,1,1,60410
124,3,4,79,1,1,22821
69,1,12,60,1,1,11262
30,1,2,54,1,2,9445
134,0,6,61,1,1,63415
144,2,12,91,1,1,65563
147,0,6,67,1,1,24436
136,3,2,53,1,2,17949
65,2,16,66,0,1,62722
129,1,16,100,1,1,31963
8,2,2,80,0,2,58818
41,1,12,79,1,2,37932
103,2,2,97,1,1,14901
133,2,8,67,0,1,59937
125,2,4,65,1,2,41487
55,3,12,88,0,2,16597
96,3,6,41,0,2,14855
124,0,8,64,0,2,26678
136,0,12,95,1,2,16263
23,1,2,42,1,2,55288
196,3,2,47,1,2,67397
199,1,2,83,0,1,33805
198,0,2,72,0,2,34143
76,1,6,81,1,2,19874
29,0,8,91,1,1,35529
100,3,16,74,1,2,28866
83,2,4,45,1,2,22079
161,3,6,78,1,1,57850
151,1,6,91,0,2,15243
186,1,16,62,0,1,37872
93,3,16,64,0,1,17018
192,3,4,98,1,1,63070
36,0,4,89,0,1,57500
76,1,16,82,0,2,62526
54,1,2,58,0,1,20100
101,3,6,44,0,1,65021
197,2,12,90,0,2,57459
151,1,4,50,1,1,27800
183,2,4,95,0,1,34910
92,3,16,51,1,1,37437
46,3,8,49,1,1,45588
107,0,12,47,1,2,19001
40,1,12,63,1,1,54675
108,2,4,99,1,2,27942
30,0,2,67,0,2,28862
17,1,8,80,0,1,19669
76,0,12,75,1,1,63683
107,3,4,76,1,1,61772
41,1,12,60,1,1,23916
187,0,8,47,0,2,18878
145,0,8,94,1,2,10985
154,2,6,48,0,2,40369
193,0,16,86,1,1,16112
103,1,16,54,0,2,49235
8,1,4,87,1,1,26931
76,2,8,85,0,1,35340
11,1,6,79,1,1,8336
23,3,6,57,0,1,50933
31,1,12,81,0,1,27363
87,1,12,99,0,2,53536
9,0,6,59,0,2,11968
135,0,12,45,0,1,41678
167,1,8,51,0,2,59148
91,2,2,41,0,1,56400
159,0,8,46,1,1,24279
147,2,6,55,1,1,11129
185,1,6,42,1,2,46215
170,1,8,84,1,1,46897
131,3,12,42,1,1,13850
40,0,12,66,0,2,28588
168,1,16,89,0,2,48214
196,3,6,82,0,2,19949
186,0,4,79,0,1,16519
178,1,16,77,0,1,34375
108,1,12,72,1,2,41082
19,0,8,67,1,1,19737
74,0,12,40,1,2,9134
72,0,8,94,1,2,18938
168,1,16,47,0,1,62028
175,1,6,76,0,1,32486
81,3,12,71,0,2,56356
50,2,8,99,1,2,34096
51,0,6,87,0,2,49115
36,1,4,82,1,2,13592
148,1,8,76,0,1,26108
19,0,16,43,0,2,60495
102,2,4,69,1,2,25270
53,0,4,45,0,2,35649
137,2,2,85,0,1,18997
42,1,12,93,1,1,41489
88,2,8,58,0,2,64830
97,3,4,71,1,1,17104
15,1,2,48,0,1,60509
100,3,16,51,0,1,8870
161,0,6,50,0,2,36684
97,0,8,85,0,2,47519
169,0,4,94,0,1,57649
122,2,12,55,0,2,42524
112,1,2,40,0,2,38957
142,0,4,84,0,1,41885
65,0,12,94,1,1,52369
121,1,4,92,1,2,43596
82,0,8,60,0,1,37866
164,3,8,69,0,2,38676
127,1,8,52,1,2,55764
171,1,16,73,0,1,58799
28,1,16,43,0,2,21878
171,3,2,67,1,2,47760
145,1,8,77,0,1,35559
108,3,12,97,0,1,54546
159,1,4,70,1,1,14771
199,2,6,98,0,2,24526
184,0,12,94,0,1,37896
106,2,16,66,1,1,39923
43,0,16,44,0,1,59913
103,3,12,64,1,1,44203
159,2,16,42,0,2,47390
158,1,8,72,0,2,20852
197,0,2,43,1,1,55574
44,0,4,64,1,2,51391
19,2,2,59,0,1,64221
120,3,4,73,1,1,61664
190,2,4,65,1,2,9848
20,3,2,44,0,2,39027
30,3,12,74,0,1,43464
106,0,4,100,0,1,42485
112,2,2,67,1,2,27456
37,2,4,68,1,1,17259
24,3,6,48,1,2,43554
120,2,12,91,1,1,54922
69,1,8,77,0,1,21409
91,1,4,89,1,2,11791
119,2,6,45,0,2,33864
93,2,8,58,1,2,44639
148,3,8,99,0,2,42574
194,1,4,83,0,2,25888
26,1,2,96,0,2,27692
184,0,4,50,1,2,31501
107,3,6,41,0,1,21304
147,0,8,86,0,1,62200
196,1,4,83,1,1,35527
154,3,2,83,0,2,65415
83,2,4,48,1,2,26074
16,3,12,60,1,2,23549
35,2,2,63,0,1,37963
135,2,6,73,0,2,33920
59,3,8,61,1,2,38826
90,2,4,42,0,1,44071
118,0,2,51,1,2,60265
151,1,12,67,1,1,24061
124,2,2,69,1,1,66226
76,0,16,65,0,2,36810
106,2,12,87,1,2,68006
147,1,6,60,0,2,65002
32,0,8,67,0,1,55966
187,1,6,95,0,1,30800
130,1,4,65,0,1,58656
60,0,2,72,1,2,51423
158,0,16,60,0,2,67897
151,0,12,74,1,2,49692
64,3,12,91,1,2,17940
46,0,2,73,0,1,11924
116,0,16,80,1,1,65767
188,0,2,90,1,1,36054
49,0,4,86,0,1,17783
193,2,6,57,1,2,45253
174,3,12,97,1,2,53397
149,1,4,50,1,2,21233
129,0,6,96,1,1,53669
140,2,4,62,0,1,32484
170,2,16,87,1,2,33068
82,2,12,61,1,2,8191
153,1,2,56,1,1,33074
83,0,2,44,1,2,12917
16,3,6,83,0,1,46599
81,3,8,50,1,1,33832
193,2,16,69,0,1,50928
152,1,6,54,1,2,28706
14,1,8,66,0,2,21682
181,1,4,74,0,1,34762
148,3,16,72,0,2,31383
175,2,4,59,0,1,66160
177,0,12,100,0,1,35796
144,3,16,55,1,1,31666
185,2,8,73,1,1,66817
34,2,12,41,1,2,33662
129,0,2,74,0,1,53159
12,0,8,79,1,1,42642
36,0,6,95,0,2,49830
172,1,2,67,0,1,45531
173,0,2,86,1,1,18234
90,2,6,78,1,2,65616
143,0,16,45,0,2,17221
116,2,2,48,0,2,19410
72,3,8,59,1,1,22519
93,1,12,99,1,2,69413
152,3,2,40,1,2,9051
78,3,8,47,1,1,52993
52,2,4,94,0,1,17765
139,3,8,62,1,1,19382
43,2,12,42,1,1,20580
77,0,8,43,1,1,64690
166,0,6,97,0,2,64563
26,2,12,64,0,2,40323
196,0,16,86,0,2,52757
115,1,4,77,0,1,68633
189,3,6,54,1,1,63472
174,1,16,60,0,1,19939
98,3,8,74,1,2,59257
97,0,12,96,1,2,37964
26,1,4,92,1,1,8307
46,0,6,92,1,2,64889
133,3,16,85,0,1,11359
180,2,16,91,0,2,37648
148,2,4,53,0,2,43944
133,1,8,75,1,2,42019
65,0,4,51,1,1,46134
155,0,16,56,1,2,35323
68,1,2,78,1,2,58669
134,2,6,48,1,1,14226
112,3,4,74,0,2,29689
174,1,16,99,1,1,38971
8,3,8,52,0,1,33954
138,2,16,54,1,1,63021
99,0,8,57,1,1,32423
197,2,4,90,0,1,38391
198,1,8,72,0,2,22330
120,0,12,45,1,1,12891
160,1,12,98,1,1,12992
63,1,12,66,1,1,9961
168,2,2,62,1,1,20497
173,1,4,98,0,2,60015
124,2,16,66,1,1,40551
141,0,16,73,0,2,18848
65,2,2,95,1,1,67838
51,0,8,85,0,2,63755
180,2,2,77,0,1,21255
167,3,8,53,1,1,12567
180,3,8,75,0,2,56847
68,1,6,92,1,1,47281
54,2,16,47,0,2,56003
156,2,12,74,1,1,28389
87,0,8,58,0,2,52523
125,1,6,69,1,1,66266
171,2,16,53,1,1,69576
154,1,12,98,0,2,69806
27,3,8,59,0,1,51919
192,2,8,88,0,1,24567
153,2,2,64,0,1,64907
54,1,2,79,1,1,11358
56,2,16,63,0,1,30999
21,1,12,53,1,1,50358
150,2,8,65,0,2,63949
166,0,16,77,1,2,18988
8,1,16,62,1,2,65880
124,2,4,61,1,1,48446
61,3,2,87,1,2,39521
125,2,12,96,0,1,13698
10,3,8,58,0,1,9273
151,3,16,85,1,1,35543
192,0,8,90,0,1,63805
19,1,4,42,0,2,39349
81,2,12,81,1,1,19241
23,0,16,58,0,2,58248
109,2,8,48,0,1,17497
159,3,2,67,0,2,49875
163,1,4,59,1,2,40703
124,2,12,84,0,2,52041
15,2,4,46,1,2,39954
129,3,2,53,0,2,16002
99,2,12,48,0,2,12247
171,2,4,98,0,1,49988
97,3,6,99,1,2,29698
143,0,2,94,1,1,67321
193,3,2,96,0,2,27738
67,0,2,99,1,1,18703
185,1,6,58,0,2,56240
35,0,6,86,1,2,57422
108,0,8,91,1,1,25570
48,1,16,53,0,2,69899
199,0,4,95,0,2,20392
162,3,8,77,0,2,52724
198,0,4,92,0,1,40299
152,1,16,100,1,2,23641
168,3,6,75,1,1,21998
164,1,16,79,1,2,14305
148,1,6,56,0,2,40726
53,2,16,69,0,1,26782
42,2,8,48,1,2,20721
141,1,12,72,0,2,47763
89,1,8,95,1,1,20427
122,1,4,91,1,2,54550
54,2,8,64,1,1,64451
160,2,2,53,1,1,28566
17,0,4,50,1,1,67055
63,0,16,92,0,2,10230
37,1,4,74,0,1,14511
116,3,12,80,0,1,57280
12,3,6,98,1,2,50229
126,2,16,53,1,1,60824
40,2,4,69,1,2,34177
125,2,16,80,1,2,12765
72,1,16,43,0,2,28354
153,3,16,98,0,2,31929
184,0,6,43,1,1,36820
18,1,8,67,1,1,54040
92,0,16,47,1,1,37523
33,0,2,41,0,1,13552
70,1,12,80,0,1,8627
93,0,6,100,0,2,19989
66,3,4,85,1,1,21780
34,0,6,61,1,1,14589
184,3,4,80,0,1,42812
168,3,6,95,1,2,36128
105,3,4,94,0,2,53939
112,2,16,55,1,1,59493
106,0,8,68,0,2,46652
136,1,4,88,1,1,35790
156,1,4,87,0,1,48953
62,0,2,69,0,2,8249
13,2,4,51,0,2,27309
102,2,2,74,0,1,62195
140,3,12,50,0,1,58126
109,0,16,85,0,2,33901
10,0,2,89,1,1,31576
188,1,8,60,1,2,39508
30,0,16,60,1,1,17175
60,2,2,44,0,2,33464
172,0,16,87,0,1,68281
90,1,16,59,1,1,24260
152,3,16,76,0,2,67461
92,1,12,42,0,1,43440
85,1,8,83,0,1,37546
117,3,6,72,0,2,48047
8,1,6,92,0,1,64683
58,1,2,100,1,1,66670
180,0,16,48,1,1,49430
11,0,2,100,1,2,9987
197,3,12,48,1,2,57242
200,0,12,43,1,2,33105
120,0,4,74,0,1,20948
39,1,12,56,0,1,61211
41,2,4,73,0,1,21026
99,0,8,63,0,1,10773
102,2,2,71,1,2,53927
79,0,8,40,1,1,17878
46,0,12,47,1,1,65535
161,3,8,84,0,1,50946
169,3,8,62,1,2,68967
189,3,8,86,0,1,64561
125,2,12,79,1,1,18377
10,1,16,51,1,1,61592
130,0,8,93,0,1,15347
57,0,4,51,0,1,41776
19,0,12,85,1,2,11783
200,2,8,86,1,1,63798
61,3,16,54,0,1,12298
140,1,12,80,1,1,12668
64,2,6,58,1,1,28671
152,3,16,65,0,1,42820
119,2,4,91,1,1,63161
54,1,8,68,0,1,68652
158,3,6,61,1,1,42484
92,2,6,79,0,1,41078
149,1,12,60,1,1,55159
73,0,6,90,0,2,28922
82,1,4,77,1,2,42028
186,0,4,59,0,2,53925
110,2,2,96,1,2,28316
173,3,4,68,1,1,19460
199,3,16,90,1,2,24968
45,2,6,43,1,2,38266
57,3,4,94,1,1,68143
105,3,12,46,1,2,38209
89,0,2,67,1,2,32000
37,2,6,67,1,1,65703
86,1,2,43,1,1,22011
98,0,6,61,0,1,10866
186,2,12,51,0,2,55133
198,0,2,84,1,2,13898
59,1,8,42,0,1,26395
173,1,16,61,1,1,47019
86,2,16,83,1,2,45707
37,1,6,41,0,1,12006
113,0,8,63,1,2,42393
58,1,2,73,1,1,18956
88,0,8,66,0,1,58042
140,0,8,94,0,2,38663
36,1,2,80,1,1,14078
139,2,12,40,0,1,37631
145,3,8,47,0,1,38140
191,1,8,62,1,2,64188
152,0,12,77,0,1,49691
81,0,8,45,0,1,11961
24,1,8,61,1,1,37277
91,2,8,64,0,1,59656
76,2,16,57,0,1,49574
41,0,4,56,1,1,60958
13,0,12,100,1,2,39417
60,2,8,51,1,2,30484
133,3,16,45,0,1,26103
50,1,12,65,1,2,37345
122,0,6,66,1,2,54326
118,0,6,47,0,1,47454
158,2,8,58,1,2,9587
190,1,16,99,1,2,64152
87,2,16,81,1,2,50571
102,1,12,40,1,2,58048
125,1,12,96,0,2,62710
151,1,16,68,1,2,65621
15,0,12,84,1,2,29031
139,3,16,88,0,2,34212
111,2,4,74,1,1,18350
139,3,16,79,0,1,26816
191,2,6,53,0,2,28288
32,1,12,74,0,2,37432
103,0,16,87,1,1,52222
162,3,16,84,0,2,56617
100,0,12,59,0,2,14837
167,2,4,95,0,1,42217
185,0,4,88,1,1,28884
68,0,12,52,1,1,13454
129,3,2,100,1,2,17424
58,1,12,77,1,2,44885
154,0,12,88,1,1,49637
28,1,4,85,1,1,51618
12,2,4,88,1,2,26412
99,0,12,47,0,1,55111
177,3,12,82,0,2,47613
68,2,12,59,0,2,28142
29,2,4,99,0,1,63056
156,3,12,72,1,1,45392
77,0,12,65,0,2,67381
8,0,8,78,0,1,67993
140,2,2,60,0,1,16848
19,0,6,92,0,1,57317
97,1,2,88,1,1,21136
53,3,8,81,1,2,61743
41,1,6,82,1,2,8589
184,0,12,93,0,2,28908
85,2,8,80,1,2,59973
52,3,12,48,0,1,69602
162,0,4,63,1,1,14509
80,0,16,76,1,2,48461
33,2,8,88,1,2,50222
54,2,4,80,1,1,57223
128,1,8,56,1,2,52476
63,3,8,63,0,2,53710
101,3,4,60,1,1,60732
114,2,6,90,0,2,65114
70,1,2,98,0,1,57420
55,3,12,78,0,1,17968
68,2,8,94,0,2,10462
88,0,12,80,0,1,17460
33,3,16,78,1,2,41783
43,1,4,52,1,1,68066
8,1,12,50,1,2,17275
15,1,4,85,1,2,36677
120,0,12,58,0,2,21269
106,3,2,50,1,1,65136
187,3,2,52,1,1,8406
54,0,2,85,0,2,15384
134,3,2,84,0,1,63201
63,0,2,40,1,2,30553
21,0,2,79,1,2,32366
